region,year,quarter,n_fires,mean_frp,sum_frp
GNP_and_Mountain,2023,2023-Q4,980,7.129448979591837,6986.86
GNP_and_Mountain,2024,2024-Q1,6,7.12,42.72
GNP_and_Mountain,2024,2024-Q2,26,6.623076923076923,172.2
GNP_and_Mountain,2024,2024-Q3,2511,9.854197530864198,24743.89
GNP_and_Mountain,2024,2024-Q4,369,9.471490514905149,3494.98
Buffer,2017,2017-Q1,4,2.225,8.9
Buffer,2017,2017-Q2,120,6.75125,810.15
Buffer,2017,2017-Q3,5638,9.03628769067045,50946.59
Buffer,2017,2017-Q4,3657,8.368829641782883,30604.81
Buffer,2018,2018-Q1,12,4.791666666666666,57.5
Buffer,2018,2018-Q2,179,5.110782122905028,914.83
Buffer,2018,2018-Q3,7282,9.324159571546279,67898.53
Buffer,2018,2018-Q4,2164,8.254265249537893,17862.23
Buffer,2019,2019-Q1,40,3.97425,158.97
Buffer,2019,2019-Q2,72,4.667083333333333,336.03
Buffer,2019,2019-Q3,7935,9.196820415879017,72976.77
Buffer,2019,2019-Q4,3348,7.851263440860215,26286.03
Buffer,2020,2020-Q1,43,4.868139534883721,209.33
Buffer,2020,2020-Q2,243,7.467489711934157,1814.6
Buffer,2020,2020-Q3,6747,9.612931673336298,64858.45
Buffer,2020,2020-Q4,3217,8.602213242151073,27673.32
Buffer,2021,2021-Q1,32,4.4821875,143.43
Buffer,2021,2021-Q2,71,5.449859154929578,386.94
Buffer,2021,2021-Q3,5083,9.322014558331693,47383.8
Buffer,2021,2021-Q4,5707,8.701156474504995,49657.5
Buffer,2022,2022-Q1,17,3.711764705882353,63.1
Buffer,2022,2022-Q2,23,3.300869565217391,75.92
Buffer,2022,2022-Q3,4625,9.563126486486487,44229.46
Buffer,2022,2022-Q4,4264,9.2675117260788,39516.67
Buffer,2023,2023-Q1,59,3.7306779661016947,220.10999999999999
Buffer,2023,2023-Q2,204,5.162303921568627,1053.11
Buffer,2023,2023-Q3,7224,7.999079457364341,57785.35
Buffer,2023,2023-Q4,3605,7.839669902912621,28262.01
Buffer,2024,2024-Q1,148,4.912094594594595,726.99
Buffer,2024,2024-Q2,314,5.661337579617834,1777.66
Buffer,2024,2024-Q3,6532,8.882359154929578,58019.57
Buffer,2024,2024-Q4,1232,7.832767857142857,9649.97
Total,2017,2017-Q1,4,2.225,8.9
Total,2017,2017-Q2,199,7.287738693467337,1450.26
Total,2017,2017-Q3,8368,9.10196104206501,76165.21
Total,2017,2017-Q4,5321,8.755480172899832,46587.91
Total,2018,2018-Q1,16,4.5649999999999995,73.03999999999999
Total,2018,2018-Q2,238,5.3088235294117645,1263.5
Total,2018,2018-Q3,11329,9.004314590872982,102009.88
Total,2018,2018-Q4,3280,8.419939024390244,27617.4
Total,2019,2019-Q1,44,3.9954545454545456,175.8
Total,2019,2019-Q2,98,4.438061224489796,434.93
Total,2019,2019-Q3,11209,9.156982781693282,102640.62
Total,2019,2019-Q4,5364,7.799386651752424,41835.91
Total,2020,2020-Q1,51,4.861764705882353,247.95
Total,2020,2020-Q2,364,12.948983516483517,4713.43
Total,2020,2020-Q3,8858,9.520165951682095,84329.63
