region,year,n_fires,mean_frp,sum_frp
GNP,2025,1583,7.877858496525584,12470.65
Mountain,2025,833,9.055258103241297,7543.03
GNP_and_Mountain,2025,2416,8.283807947019868,20013.68
Buffer,2025,9491,9.009464756084713,85508.83
Total,2025,11907,8.862224741748552,105522.51
