region,year,month,n_fires,mean_frp,sum_frp
GNP,2018,May,7,3.46,24.22
GNP,2018,June,35,6.924571428571428,242.35999999999993
GNP,2018,July,75,11.809866666666668,885.74
GNP,2018,August,1262,8.597773375594294,10850.390000000018
GNP,2018,September,1951,8.206145566376216,16010.190000000035
GNP,2018,October,735,7.44625850340136,5472.999999999998
GNP,2018,November,315,11.646952380952383,3668.790000000002
GNP,2018,December,8,12.731250000000001,101.85000000000001
GNP,2019,January,0,NA,0
GNP,2019,February,3,3.86,11.579999999999998
GNP,2019,March,0,NA,0
GNP,2019,April,2,4.4,8.8
GNP,2019,May,5,2.846,14.23
GNP,2019,June,4,6.3275,25.31
GNP,2019,July,217,9.62225806451613,2088.0300000000007
GNP,2019,August,1166,8.281929674099485,9656.729999999994
GNP,2019,September,1270,9.180582677165356,11659.340000000015
GNP,2019,October,1188,8.174848484848486,9711.719999999987
GNP,2019,November,482,7.905788381742738,3810.589999999999
GNP,2019,December,6,4.195,25.17
GNP,2020,January,2,5.075,10.15
GNP,2020,February,0,NA,0
GNP,2020,March,3,4.47,13.41
GNP,2020,April,18,8.455555555555556,152.20000000000002
GNP,2020,May,73,33.873424657534244,2472.76
GNP,2020,June,24,10.249583333333334,245.98999999999998
GNP,2020,July,64,10.4875,671.2
GNP,2020,August,655,8.937832061068702,5854.28
GNP,2020,September,984,8.564420731707317,8427.39000000001
GNP,2020,October,850,7.985388235294117,6787.580000000011
GNP,2020,November,178,10.568483146067416,1881.1899999999987
GNP,2020,December,1,3.15,3.15
GNP,2021,January,0,NA,0
GNP,2021,February,0,NA,0
GNP,2021,March,1,5.64,5.64
GNP,2021,April,8,4.54,36.32
GNP,2021,May,17,4.653529411764706,79.11000000000001
GNP,2021,June,2,4.645,9.29
GNP,2021,July,15,6.672,100.08
GNP,2021,August,124,9.074677419354838,1125.2600000000007
GNP,2021,September,904,9.950575221238937,8995.320000000002
GNP,2021,October,526,8.352148288973384,4393.23
GNP,2021,November,550,7.000763636363636,3850.4199999999996
GNP,2021,December,405,8.233061728395061,3334.389999999999
GNP,2022,January,0,NA,0
GNP,2022,February,1,7.21,7.21
GNP,2022,March,0,NA,0
GNP,2022,April,4,3.5324999999999998,14.129999999999999
GNP,2022,May,15,3.922,58.83
GNP,2022,June,5,3.996,19.98
GNP,2022,July,1,7.49,7.49
GNP,2022,August,243,11.06946502057613,2689.880000000003
GNP,2022,September,774,7.552635658914729,5845.739999999996
GNP,2022,October,904,8.30120575221239,7504.29000000001
GNP,2022,November,31,8.504838709677419,263.65000000000003
GNP,2022,December,11,5.802727272727273,63.830000000000005
GNP,2023,January,0,NA,0
GNP,2023,February,2,0.525,1.05
GNP,2023,March,0,NA,0
GNP,2023,April,6,6.0216666666666665,36.129999999999995
GNP,2023,May,12,5.395833333333333,64.75
GNP,2023,June,21,5.370952380952381,112.78999999999998
GNP,2023,July,261,9.092452107279694,2373.1300000000006
GNP,2023,August,567,6.6329453262786595,3760.880000000002
GNP,2023,September,801,7.3610861423220975,5896.230000000005
GNP,2023,October,725,7.2088413793103445,5226.409999999992
GNP,2023,November,58,8.425172413793103,488.6599999999998
GNP,2023,December,9,3.671111111111111,33.04
GNP,2024,January,0,NA,0
GNP,2024,February,2,1.3900000000000001,2.7800000000000002
GNP,2024,March,2,4.895,9.79
GNP,2024,April,0,NA,0
GNP,2024,May,4,10.342500000000001,41.370000000000005
GNP,2024,June,12,4.99,59.879999999999995
GNP,2024,July,103,7.938640776699029,817.6800000000002
GNP,2024,August,885,9.415322033898306,8332.56000000001
GNP,2024,September,517,9.651431334622824,4989.790000000001
GNP,2024,October,216,10.198148148148148,2202.7999999999997
GNP,2024,November,48,6.4818750000000005,311.13
GNP,2024,December,67,10.823432835820896,725.1699999999996
GNP_and_Mountain,2017,January,0,NA,0
GNP_and_Mountain,2017,February,0,NA,0
GNP_and_Mountain,2017,March,0,NA,0
GNP_and_Mountain,2017,April,1,3.56,3.56
GNP_and_Mountain,2017,May,5,2.734,13.67
GNP_and_Mountain,2017,June,73,8.532602739726027,622.8799999999999
GNP_and_Mountain,2017,July,556,10.651097122302158,5922.010000000005
GNP_and_Mountain,2017,August,807,9.383234200743495,7572.269999999995
GNP_and_Mountain,2017,September,1367,8.57669348939283,11724.339999999997
GNP_and_Mountain,2017,October,1581,9.490398481973434,15004.319999999992
GNP_and_Mountain,2017,November,66,13.578181818181818,896.1600000000002
GNP_and_Mountain,2017,December,17,4.859999999999999,82.62
GNP_and_Mountain,2018,January,4,3.885,15.54
GNP_and_Mountain,2018,February,0,NA,0
GNP_and_Mountain,2018,March,0,NA,0
GNP_and_Mountain,2018,April,5,3.51,17.55
GNP_and_Mountain,2018,May,11,3.309090909090909,36.4
GNP_and_Mountain,2018,June,43,6.853953488372094,294.7200000000001
GNP_and_Mountain,2018,July,88,11.317272727272728,995.9200000000001
GNP_and_Mountain,2018,August,1348,8.5158234421364991,11479.330000000024
GNP_and_Mountain,2018,September,2611,8.28651857525852,21636.100000000082
GNP_and_Mountain,2018,October,782,7.592979539641944,5937.710000000002
GNP_and_Mountain,2018,November,326,11.397576687116562,3715.6100000000015
GNP_and_Mountain,2018,December,8,12.731250000000001,101.85000000000001
GNP_and_Mountain,2019,January,0,NA,0
GNP_and_Mountain,2019,February,3,3.86,11.579999999999998
GNP_and_Mountain,2019,March,1,5.25,5.25
GNP_and_Mountain,2019,April,4,3.8,15.2
GNP_and_Mountain,2019,May,17,3.3158823529411765,56.36999999999999
GNP_and_Mountain,2019,June,5,5.466,27.33
GNP_and_Mountain,2019,July,236,9.164661016949152,2162.8600000000006
GNP_and_Mountain,2019,August,1298,8.297326656394453,10769.929999999998
GNP_and_Mountain,2019,September,1740,9.61555172413793,16731.06000000003
GNP_and_Mountain,2019,October,1506,7.699561752988047,11595.539999999994
GNP_and_Mountain,2019,November,504,7.795972222222222,3929.17
GNP_and_Mountain,2019,December,6,4.195,25.17
GNP_and_Mountain,2020,January,2,5.075,10.15
GNP_and_Mountain,2020,February,1,7.56,7.56
GNP_and_Mountain,2020,March,5,4.182,20.91
GNP_and_Mountain,2020,April,19,8.167894736842104,155.19000000000003
GNP_and_Mountain,2020,May,75,33.06106666666667,2479.5800000000004
GNP_and_Mountain,2020,June,27,9.78,264.05999999999995
GNP_and_Mountain,2020,July,73,9.601643835616438,700.9200000000001
GNP_and_Mountain,2020,August,699,8.847153075822604,6184.159999999998
GNP_and_Mountain,2020,September,1339,9.39962658700523,12586.099999999946
GNP_and_Mountain,2020,October,986,8.129381338742395,8015.570000000009
GNP_and_Mountain,2020,November,299,9.820635451505016,2936.3699999999985
GNP_and_Mountain,2020,December,1,3.15,3.15
GNP_and_Mountain,2021,January,0,NA,0
GNP_and_Mountain,2021,February,0,NA,0
GNP_and_Mountain,2021,March,3,5.326666666666666,15.98
GNP_and_Mountain,2021,April,11,4.529090909090909,49.82
GNP_and_Mountain,2021,May,27,6.220370370370371,167.94999999999996
GNP_and_Mountain,2021,June,15,5.942666666666667,89.13999999999999
GNP_and_Mountain,2021,July,26,6.987307692307692,181.66999999999996
GNP_and_Mountain,2021,August,168,8.02047619047619,1347.4400000000014
GNP_and_Mountain,2021,September,1126,9.597850799289521,10807.179999999995
GNP_and_Mountain,2021,October,707,8.322489391796323,5884.000000000006
GNP_and_Mountain,2021,November,657,7.140121765601218,4691.059999999999
GNP_and_Mountain,2021,December,446,8.149686098654708,3634.759999999998
GNP_and_Mountain,2022,January,0,NA,0
GNP_and_Mountain,2022,February,2,7.455,14.91
GNP_and_Mountain,2022,March,5,5.07,25.349999999999998
GNP_and_Mountain,2022,April,6,3.4266666666666667,20.56
GNP_and_Mountain,2022,May,19,3.783157894736842,71.88
GNP_and_Mountain,2022,June,6,3.713333333333333,22.28
GNP_and_Mountain,2022,July,2,5.98,11.96
GNP_and_Mountain,2022,August,308,9.86633116883117,3038.830000000002
GNP_and_Mountain,2022,September,1189,7.783439865433137,9254.510000000006
GNP_and_Mountain,2022,October,1425,7.998757894736842,11398.230000000025
GNP_and_Mountain,2022,November,33,8.139696969696969,268.61000000000007
GNP_and_Mountain,2022,December,11,5.802727272727273,63.830000000000005
GNP_and_Mountain,2023,January,0,NA,0
GNP_and_Mountain,2023,February,2,0.525,1.05
GNP_and_Mountain,2023,March,0,NA,0
GNP_and_Mountain,2023,April,7,5.538571428571428,38.769999999999996
GNP_and_Mountain,2023,May,39,4.644358974358974,181.13
GNP_and_Mountain,2023,June,64,5.29375,338.79999999999995
GNP_and_Mountain,2023,July,278,8.838561151079135,2457.120000000001
GNP_and_Mountain,2023,August,654,6.751467889908257,4415.4599999999955
GNP_and_Mountain,2023,September,1094,7.673555758683729,8394.87000000001
GNP_and_Mountain,2023,October,894,7.0936017897091705,6341.679999999981
GNP_and_Mountain,2023,November,72,8.234305555555556,592.8699999999998
